MeanRR,SDNN,Label
0.9885,0.2797,0
0.9757,0.2747,0
0.8068,0.0455,0
0.8665,0.1548,0
0.8403,0.0364,0
0.8607,0.0598,0
0.8203,0.0565,0
0.773,0.0304,0
0.8788,0.1941,0
0.8582,0.0289,0
0.8484,0.1052,0
0.8651,0.1508,0
0.9019,0.0515,0
0.0515,0.0318,0
0.8213,0.0418,0
0.8266,0.0409,0
0.9189,0.0454,0
0.8741,0.0358,0
0.8832,0.0354,0
0.8603,0.0443,0
0.8809,0.0383,0
0.8626,0.0319,0
0.8579,0.1068,0
0.8587,0.0359,0
0.8394,0.0281,0
0.9253,0.1994,0
0.8421,0.04,0
0.8308,0.0531,0
0.8322,0.0349,0
0.8531,0.0318,0
0.9061,0.047,0
0.9333,0.0979,0
0.9331,0.072,0
0.9078,0.0336,0
0.8821,0.0425,0
0.815,0.0408,0
0.9021,0.0781,0
0.9758,0.076,0
0.9511,0.0442,0
0.8531,0.0437,0
0.8657,0.1897,0
0.8414,0.0537,0
0.9426,0.0617,0
0.9292,0.0662,0
0.8898,0.0914,0
0.9032,0.0437,0
0.8926,0.0401,0
0.8421,0.0298,0
0.8752,0.0431,0
0.8625,0.0684,0
0.8481,0.0386,0
0.849,0.0335,0
0.8521,0.0295,0
0.8776,0.0374,0
1.0707,0.3682,0
0.9328,0.2704,0
1.0103,0.2402,0
1.0141,0.3103,0
0.8886,0.156,0
0.9481,0.0534,0
0.8628,0.2504,0
0.8377,0.1195,0
0.8619,0.1691,0
0.9311,0.062,0
0.8293,0.0833,0
0.8983,0.2111,0
0.9482,0.0536,0
0.8785,0.0516,0
0.8501,0.0855,0
0.8496,0.0797,0
0.7846,0.0407,0
0.8653,0.0429,0
0.9316,0.2258,0
0.9179,0.061,0
0.8815,0.0656,0
0.9144,0.0609,0
0.8906,0.0566,0
0.85,0.1485,0
0.9119,0.2338,0
0.9311,0.0775,0
0.8947,0.0806,0
0.9039,0.0535,0
0.9164,0.045,0
0.9134,0.0543,0
0.8886,0.0371,0
0.8791,0.0382,0
0.8612,0.0577,0
0.8274,0.0494,0
0.8563,0.0285,0
0.8781,0.0335,0
0.8925,0.0676,0
0.8914,0.0341,0
0.8537,0.0332,0
0.8525,0.0361,0
0.8206,0.026,0
0.8549,0.0279,0
0.84,0.1054,0
0.8478,0.0288,0
0.8795,0.1455,0
0.869,0.0294,0
0.8782,0.0356,0
0.8809,0.0286,0
0.8648,0.0249,0
0.8945,0.1502,0
0.8459,0.0274,0
0.8596,0.0364,0
0.8509,0.0327,0
0.8531,0.0339,0
0.907,0.1875,0
1.0645,0.1953,0
0.959,0.4074,0
0.7979,0.1545,0
0.864,0.2049,0
0.8361,0.2574,0
1.083,0.3931,0
0.8128,0.1497,0
0.8785,0.2827,0
1.13,0.3822,0
1.1304,0.2965,0
1.0348,0.2365,0
1.1039,0.1719,0
1.0776,0.1788,0
0.9259,0.2422,0
0.8908,0.2589,0
1.0463,0.2464,0
1.0602,0.2352,0
1.0565,0.2221,0
1.1818,0.2479,0
1.0398,0.2662,0
1.0074,0.2717,0
1.0628,0.3039,0
0.8675,0.1609,0
0.8386,0.0413,0
0.8612,0.0707,0
0.8935,0.1377,0
0.8839,0.0838,0
0.8835,0.0497,0
0.8756,0.0727,0
0.8732,0.0383,0
0.8613,0.0408,0
0.8557,0.0427,0
0.8763,0.0327,0
0.8627,0.0928,0
0.9437,0.042,0
0.9136,0.0352,0
0.9141,0.0457,0
0.8937,0.0344,0
0.8927,0.0386,0
0.89,0.0378,0
0.8959,0.0336,0
0.8903,0.0578,0
0.8948,0.0298,0
0.8777,0.0336,0
0.8463,0.0386,0
0.9056,0.0373,0
0.9083,0.05,0
0.9011,0.046,0
0.903,0.043,0
0.9259,0.0319,0
0.8956,0.0266,0
0.9,0.0489,0
0.8865,0.0279,0
0.9136,0.0411,0
0.912,0.0281,0
0.8755,0.0318,0
0.874,0.0416,0
0.8757,0.1541,0
0.9484,0.093,0
0.8952,0.0651,0
0.9432,0.048,0
0.9234,0.0553,0
0.9245,0.0646,0
0.8802,0.0403,0
0.88,0.0453,0
0.9045,0.0601,0
1.0009,0.0742,0
0.9429,0.045,0
0.9152,0.0444,0
0.8981,0.0733,0
0.9468,0.1675,0
0.9113,0.0486,0
0.8973,0.0387,0
0.8935,0.0385,0
0.87,0.0316,0
0.8942,0.0385,0
0.8764,0.037,0
0.9597,0.2865,0
0.8832,0.1892,0
0.9282,0.2526,0
0.8825,0.1144,0
0.874,0.1123,0
0.8684,0.1736,0
0.8512,0.1164,0
0.9282,0.2301,0
0.9176,0.2289,0
0.8237,0.1226,0
0.9169,0.1058,0
0.9058,0.1974,0
0.8018,0.0503,0
0.9065,0.2125,0
0.8788,0.1899,0
0.9253,0.2385,0
0.8459,0.1004,0
0.9048,0.1874,0
0.9546,0.2356,0
0.9668,0.2119,0
0.8625,0.161,0
0.8446,0.1355,0
0.8891,0.1666,0
0.8879,0.1799,0
0.9031,0.1929,0
0.8768,0.1498,0
0.8107,0.0957,0
0.8054,0.1156,0
0.9077,0.2233,0
1.0076,0.3256,0
0.9158,0.2003,0
0.8345,0.145,0
0.9208,0.1896,0
